url_type,url,status_code,final_url,redirect_chain,title,h1,canonical,hreflang_en,hreflang_zh,hreflang_xdefault,in_sitemap,error
NON_SLASH,https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns,200,https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns/,[],Fabricated Steel Beams &amp; Columns | Custom Steel Fabrication | ZhongSai,Fabricated Steel Beams & Columns to Project Drawings,https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns/,https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns/,,https://zhongsai-steelstructure.com/en/components/fabricated-steel-beams-columns/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems,200,https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems/,[],Steel Roof &amp; Wall Cladding Systems | ZhongSai,Steel Roof & Wall Cladding Systems for Steel Buildings,https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems/,https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems/,,https://zhongsai-steelstructure.com/en/components/roof-wall-cladding-systems/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/components/steel-purlins,200,https://zhongsai-steelstructure.com/en/components/steel-purlins/,[],Steel Purlins | C Purlins &amp; Z Purlins Cold-Formed for Roof and Wall | ZhongSai,C Purlins & Z PurlinsCold-Formed to Project Specs,https://zhongsai-steelstructure.com/en/components/steel-purlins/,https://zhongsai-steelstructure.com/en/components/steel-purlins/,,https://zhongsai-steelstructure.com/en/components/steel-purlins/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/components/steel-trusses,200,https://zhongsai-steelstructure.com/en/components/steel-trusses/,[],"Steel Trusses | Roof Trusses, Pipe Trusses &amp; Transfer Trusses Fabricated to Drawings | ZhongSai",Custom Steel TrussesFabricated to Drawings,https://zhongsai-steelstructure.com/en/components/steel-trusses/,https://zhongsai-steelstructure.com/en/components/steel-trusses/,,https://zhongsai-steelstructure.com/en/components/steel-trusses/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/contact,200,https://zhongsai-steelstructure.com/en/contact/,[],Contact ZhongSai Steel Structure | Project Inquiry &amp; Quote,Send Your Steel Structure Project Requirements,https://zhongsai-steelstructure.com/en/contact/,https://zhongsai-steelstructure.com/en/contact/,,https://zhongsai-steelstructure.com/en/contact/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/engineering-design,200,https://zhongsai-steelstructure.com/en/engineering-design/,[],Steel Building Design Services | Engineering for Fabrication | ZhongSai,Steel Building Design Services for Fabrication & Export Projects,https://zhongsai-steelstructure.com/en/engineering-design/,https://zhongsai-steelstructure.com/en/engineering-design/,,https://zhongsai-steelstructure.com/en/engineering-design/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/export-delivery,200,https://zhongsai-steelstructure.com/en/export-delivery/,[],"Steel Structure Export from China | Packing, Loading &amp; Delivery Support",Steel Structure Export Supply from China,https://zhongsai-steelstructure.com/en/export-delivery/,https://zhongsai-steelstructure.com/en/export-delivery/,,https://zhongsai-steelstructure.com/en/export-delivery/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/manufacturing-quality,200,https://zhongsai-steelstructure.com/en/manufacturing-quality/,[],Steel Structure Manufacturing &amp; Quality Control | ZhongSai,Steel Structure Manufacturing& Quality Control,https://zhongsai-steelstructure.com/en/manufacturing-quality/,https://zhongsai-steelstructure.com/en/manufacturing-quality/,,https://zhongsai-steelstructure.com/en/manufacturing-quality/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/privacy,200,https://zhongsai-steelstructure.com/en/privacy/,[],Privacy Policy | ZhongSai Steel Structure,Privacy Policy,https://zhongsai-steelstructure.com/en/privacy/,https://zhongsai-steelstructure.com/en/privacy/,,https://zhongsai-steelstructure.com/en/privacy/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/products,200,https://zhongsai-steelstructure.com/en/products/,[],"Steel Structure Solutions by Application | Industrial, Warehouse, Agriculture, Commercial | ZhongSai",Steel Structure Solutionsby Building Application,https://zhongsai-steelstructure.com/en/products/,https://zhongsai-steelstructure.com/en/products/,,https://zhongsai-steelstructure.com/en/products/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/products/custom-engineering,200,https://zhongsai-steelstructure.com/en/products/custom-engineering/,[],Structural Steel Fabrication in China | Custom Fabrication | ZhongSai,Structural Steel Fabrication in China for Overseas Projects,https://zhongsai-steelstructure.com/en/products/custom-engineering/,https://zhongsai-steelstructure.com/en/products/custom-engineering/,,https://zhongsai-steelstructure.com/en/products/custom-engineering/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects,200,https://zhongsai-steelstructure.com/en/projects/,[],Selected Steel Structure Projects | ZhongSai Manufacturing References,Selected Steel Structure Projects,https://zhongsai-steelstructure.com/en/projects/,https://zhongsai-steelstructure.com/en/projects/,,https://zhongsai-steelstructure.com/en/projects/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack,200,https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack/,[],CNOOC PR6 Pipe Rack 4-SS2 Frame Project | ZhongSai Steel Structure Projects,CNOOC PR6 Pipe Rack 4-SS2 Frame Project,https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack/,https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack/,,https://zhongsai-steelstructure.com/en/projects/cnooc-pr6-pipe-rack/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace,200,https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace/,[],CNPC Sixth Construction Cracking Furnace Project | ZhongSai Steel Structure Projects,CNPC Sixth Construction Cracking Furnace Project,https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace/,https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace/,,https://zhongsai-steelstructure.com/en/projects/cnpc-cracking-furnace/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace,200,https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace/,[],CNPC Sixth Construction Liquid Furnace Project | ZhongSai Steel Structure Projects,CNPC Sixth Construction Liquid Furnace Project,https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace/,https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace/,,https://zhongsai-steelstructure.com/en/projects/cnpc-liquid-furnace/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/dongguan-huarun-center,200,https://zhongsai-steelstructure.com/en/projects/dongguan-huarun-center/,[],Dongguan Huarun Land Center Commercial &amp; Residential Building Project | ZhongSai Steel Structure Projects,Dongguan Huarun Land Center Commercial &amp; Residential Building Project,https://zhongsai-steelstructure.com/en/projects/dongguan-huarun-center/,https://zhongsai-steelstructure.com/en/projects/dongguan-huarun-center/,,https://zhongsai-steelstructure.com/en/projects/dongguan-huarun-center/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/futian-bonded-zone-customs,200,https://zhongsai-steelstructure.com/en/projects/futian-bonded-zone-customs/,[],Shenzhen Futian Bonded Zone Customs Infrastructure Upgrade and Renovation Project | ZhongSai Steel Structure Projects,Shenzhen Futian Bonded Zone Customs Infrastructure Upgrade and Renovation Project,https://zhongsai-steelstructure.com/en/projects/futian-bonded-zone-customs/,https://zhongsai-steelstructure.com/en/projects/futian-bonded-zone-customs/,,https://zhongsai-steelstructure.com/en/projects/futian-bonded-zone-customs/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/guangzhou-high-end-equipment-base,200,https://zhongsai-steelstructure.com/en/projects/guangzhou-high-end-equipment-base/,[],Guangzhou Gongkong Greater Bay Area Modern High-End Equipment R&amp;D and Production Base | ZhongSai Steel Structure Projects,Guangzhou Gongkong Greater Bay Area Modern High-End Equipment R&amp;D and Production Base,https://zhongsai-steelstructure.com/en/projects/guangzhou-high-end-equipment-base/,https://zhongsai-steelstructure.com/en/projects/guangzhou-high-end-equipment-base/,,https://zhongsai-steelstructure.com/en/projects/guangzhou-high-end-equipment-base/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/luohu-mixc-skybridge,200,https://zhongsai-steelstructure.com/en/projects/luohu-mixc-skybridge/,[],Shenzhen Luohu Mixc Commercial Center Skybridge Project | ZhongSai Steel Structure Projects,Shenzhen Luohu Mixc Commercial Center Skybridge Project,https://zhongsai-steelstructure.com/en/projects/luohu-mixc-skybridge/,https://zhongsai-steelstructure.com/en/projects/luohu-mixc-skybridge/,,https://zhongsai-steelstructure.com/en/projects/luohu-mixc-skybridge/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/macau-city-of-dreams-phase2,200,https://zhongsai-steelstructure.com/en/projects/macau-city-of-dreams-phase2/,[],Macau City of Dreams Phase 2 | ZhongSai Steel Structure Projects,Macau City of Dreams Phase 2,https://zhongsai-steelstructure.com/en/projects/macau-city-of-dreams-phase2/,https://zhongsai-steelstructure.com/en/projects/macau-city-of-dreams-phase2/,,https://zhongsai-steelstructure.com/en/projects/macau-city-of-dreams-phase2/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/macau-londoner,200,https://zhongsai-steelstructure.com/en/projects/macau-londoner/,[],Macau Londoner Project | ZhongSai Steel Structure Projects,Macau Londoner Project,https://zhongsai-steelstructure.com/en/projects/macau-londoner/,https://zhongsai-steelstructure.com/en/projects/macau-londoner/,,https://zhongsai-steelstructure.com/en/projects/macau-londoner/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/qianhai-dreamfactory,200,https://zhongsai-steelstructure.com/en/projects/qianhai-dreamfactory/,[],Shenzhen Qianhai Shenzhen-Hong Kong Youth Dream Factory Project | ZhongSai Steel Structure Projects,Shenzhen Qianhai Shenzhen-Hong Kong Youth Dream Factory Project,https://zhongsai-steelstructure.com/en/projects/qianhai-dreamfactory/,https://zhongsai-steelstructure.com/en/projects/qianhai-dreamfactory/,,https://zhongsai-steelstructure.com/en/projects/qianhai-dreamfactory/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/shantou-luxshare-electronics-center,200,https://zhongsai-steelstructure.com/en/projects/shantou-luxshare-electronics-center/,[],Shantou Luxshare Precision Global Electronic Information Industry Center Project | ZhongSai Steel Structure Projects,Shantou Luxshare Precision Global Electronic Information Industry Center Project,https://zhongsai-steelstructure.com/en/projects/shantou-luxshare-electronics-center/,https://zhongsai-steelstructure.com/en/projects/shantou-luxshare-electronics-center/,,https://zhongsai-steelstructure.com/en/projects/shantou-luxshare-electronics-center/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/singapore-airport-t2-connect,200,https://zhongsai-steelstructure.com/en/projects/singapore-airport-t2-connect/,[],Singapore Changi Airport T2 Connect | ZhongSai Steel Structure Projects,Singapore Changi Airport T2 Connect,https://zhongsai-steelstructure.com/en/projects/singapore-airport-t2-connect/,https://zhongsai-steelstructure.com/en/projects/singapore-airport-t2-connect/,,https://zhongsai-steelstructure.com/en/projects/singapore-airport-t2-connect/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/singapore-cr101-depot,200,https://zhongsai-steelstructure.com/en/projects/singapore-cr101-depot/,[],Singapore LTA CR101 MRT Depot | ZhongSai Steel Structure Projects,Singapore LTA CR101 MRT Depot,https://zhongsai-steelstructure.com/en/projects/singapore-cr101-depot/,https://zhongsai-steelstructure.com/en/projects/singapore-cr101-depot/,,https://zhongsai-steelstructure.com/en/projects/singapore-cr101-depot/,False,
NON_SLASH,https://zhongsai-steelstructure.com/en/projects/singapore-j102-mrt-station,200,https://zhongsai-steelstructure.com/en/projects/singapore-j102-mrt-station/,[],Singapore LTA J102 MRT Station | ZhongSai Steel Structure Projects,Singapore LTA J102 MRT Station,https://zhongsai-steelstructure.com/en/projects/singapore-j102-mrt-station/,https://zhongsai-steelstructure.com/en/projects/singapore-j102-mrt-station/,,https://zhongsai-steelstructure.com/en/projects/singapore-j102-mrt-station/,False,
